image,f1_mic,f2_mic,f3_mic,f4_mic,f5_mic,f6_mic,f7_mic,f8_mic,f9_mic,f10_mic,f11_mic,f12_mic,f13_mic,f14_mic,f15_mic,f16_mic,f1_mac,f2_mac,f3_mac,f4_mac,f5_mac,f6_mac,f7_mac,f8_mac,f9_mac,f10_mac,f11_mac,f12_mac,f13_mac,f14_mac,f15_mac,f16_mac,label
image1.png,1.6264502337095341,1.50432292728864,1.6151966283903085,1.5543373667384035,1.5155597535009318,1.5530268146216502,1.545741229373347,1.4454195296221894,1.6940456876032248,1.4345146533510895,1.331294512588923,1.395566781660185,1.4685868263698467,1.6896250845305343,1.4555363930596579,1.6202631303094777,44.0,71.0,66.0,47.0,59.0,47.0,42.0,60.0,45.0,51.0,53.0,53.0,36.0,38.0,47.0,41.0,114.0
image2.png,1.6264502337095341,1.50432292728864,1.6151966283903085,1.5543373667384035,1.5155597535009318,1.5530268146216502,1.545741229373347,1.4454195296221894,1.6940456876032248,1.4345146533510895,1.331294512588923,1.395566781660185,1.4685868263698467,1.6896250845305343,1.4555363930596579,1.6202631303094777,44.0,71.0,66.0,47.0,59.0,47.0,42.0,60.0,45.0,51.0,53.0,53.0,36.0,38.0,47.0,41.0,115.0
image3.png,1.5792563666452377,3.6096119645388045,1.394016777578925,1.9326130739017737,1.4769045502548506,1.5896674452364379,1.7437160938109846,1.3916481149464008,1.8132068738211562,1.4438390829661525,1.672922845804264,1.439692338406069,1.5381898908614255,2.1676038238918958,1.4697143937299673,1.3982315113336212,50.0,55.0,62.0,46.0,53.0,52.0,49.0,55.0,44.0,54.0,52.0,44.0,38.0,44.0,50.0,52.0,116.0
image4.png,1.5792563666452377,3.6096119645388045,1.394016777578925,1.9326130739017737,1.4769045502548506,1.5896674452364379,1.7437160938109846,1.3916481149464008,1.8132068738211562,1.4438390829661525,1.672922845804264,1.439692338406069,1.5381898908614255,2.1676038238918958,1.4697143937299673,1.3982315113336212,50.0,55.0,62.0,46.0,53.0,52.0,49.0,55.0,44.0,54.0,52.0,44.0,38.0,44.0,50.0,52.0,123.0
image5.png,1.5792563666452377,3.6096119645388045,1.394016777578925,1.9326130739017737,1.4769045502548506,1.5896674452364379,1.7437160938109846,1.3916481149464008,1.8132068738211562,1.4438390829661525,1.672922845804264,1.439692338406069,1.5381898908614255,2.1676038238918958,1.4697143937299673,1.3982315113336212,50.0,55.0,62.0,46.0,53.0,52.0,49.0,55.0,44.0,54.0,52.0,44.0,38.0,44.0,50.0,52.0,118.0
image6.png,1.5792563666452377,3.6096119645388045,1.394016777578925,1.9326130739017737,1.4769045502548506,1.5896674452364379,1.7437160938109846,1.3916481149464008,1.8132068738211562,1.4438390829661525,1.672922845804264,1.439692338406069,1.5381898908614255,2.1676038238918958,1.4697143937299673,1.3982315113336212,50.0,55.0,62.0,46.0,53.0,52.0,49.0,55.0,44.0,54.0,52.0,44.0,38.0,44.0,50.0,52.0,120.0
image7.png,1.5792563666452377,3.6096119645388045,1.394016777578925,1.9326130739017737,1.4769045502548506,1.5896674452364379,1.7437160938109846,1.3916481149464008,1.8132068738211562,1.4438390829661525,1.672922845804264,1.439692338406069,1.5381898908614255,2.1676038238918958,1.4697143937299673,1.3982315113336212,50.0,55.0,62.0,46.0,53.0,52.0,49.0,55.0,44.0,54.0,52.0,44.0,38.0,44.0,50.0,52.0,122.0
image8.png,1.5792563666452377,3.6096119645388045,1.394016777578925,1.9326130739017737,1.4769045502548506,1.5896674452364379,1.7437160938109846,1.3916481149464008,1.8132068738211562,1.4438390829661525,1.672922845804264,1.439692338406069,1.5381898908614255,2.1676038238918958,1.4697143937299673,1.3982315113336212,50.0,55.0,62.0,46.0,53.0,52.0,49.0,55.0,44.0,54.0,52.0,44.0,38.0,44.0,50.0,52.0,119.0
image9.png,1.5792563666452377,3.6096119645388045,1.394016777578925,1.9326130739017737,1.4769045502548506,1.5896674452364379,1.7437160938109846,1.3916481149464008,1.8132068738211562,1.4438390829661525,1.672922845804264,1.439692338406069,1.5381898908614255,2.1676038238918958,1.4697143937299673,1.3982315113336212,50.0,55.0,62.0,46.0,53.0,52.0,49.0,55.0,44.0,54.0,52.0,44.0,38.0,44.0,50.0,52.0,121.0
image10.png,1.5792563666452377,3.6096119645388045,1.394016777578925,1.9326130739017737,1.4769045502548506,1.5896674452364379,1.7437160938109846,1.3916481149464008,1.8132068738211562,1.4438390829661525,1.672922845804264,1.439692338406069,1.5381898908614255,2.1676038238918958,1.4697143937299673,1.3982315113336212,50.0,55.0,62.0,46.0,53.0,52.0,49.0,55.0,44.0,54.0,52.0,44.0,38.0,44.0,50.0,52.0,119.0
