image1.png,|     species
0  Bari2_062|
image2.png,|     species
0  Bari2_062|
image3.png,|     species
0  Bari2_062|
image4.png,|     species
0  Bari2_062|
image5.png,|     species
0  Bari2_062|
image6.png,|     species
0  Bari2_062|
image7.png,|     species
0  Bari2_062|
image8.png,|     species
0  Bari2_062|
image9.png,|     species
0  Bari2_062|
image10.png,|     species
0  Bari2_062|
image11.png,|     species
0  Bari2_062|
image12.png,|     species
0  Bari2_062|
image13.png,|     species
0  Bari2_062|
image14.png,|     species
0  Bari2_062|
image15.png,|     species
0  Bari2_062|
image16.png,|     species
0  Bari2_062|
image17.png,|     species
0  Bari2_062|
image18.png,|     species
0  Bari2_062|
image19.png,|     species
0  Bari2_062|
image20.png,|     species
0  Bari2_062|
image21.png,|     species
0  Bari2_062|
image22.png,|     species
0  Bari2_062|
image23.png,|     species
0  Bari2_062|
image24.png,|     species
0  Bari2_062|
image25.png,|     species
0  Bari2_062|
image26.png,|     species
0  Bari2_062|
image27.png,|     species
0  Bari2_062|
image28.png,|     species
0  Bari2_062|
image29.png,|     species
0  Bari2_062|
image30.png,|     species
0  Bari2_062|
image31.png,|     species
0  Bari2_062|
image32.png,|     species
0  Bari2_062|
image33.png,|     species
0  Bari2_062|
image34.png,|     species
0  Bari2_062|
image35.png,|     species
0  Bari2_062|
image36.png,|     species
0  Bari2_062|
image37.png,|     species
0  Bari2_062|
image38.png,|     species
0  Bari2_062|
image39.png,|     species
0  Bari2_062|
image40.png,|     species
0  Bari2_062|
image41.png,|     species
0  Bari2_062|
image42.png,|     species
0  Bari2_062|
image43.png,|     species
0  Bari2_062|
image44.png,|     species
0  Bari2_062|
image45.png,|     species
0  Bari2_062|
image46.png,|     species
0  Bari2_062|
image47.png,|     species
0  Bari2_062|
image48.png,|     species
0  Bari2_062|
image49.png,|     species
0  Bari2_062|
image50.png,|     species
0  Bari2_062|
image51.png,|     species
0  Bari2_062|
image52.png,|     species
0  Bari2_062|
image53.png,|     species
0  Bari2_062|
image54.png,|     species
0  Bari2_062|
image55.png,|     species
0  Bari2_062|
image56.png,|     species
0  Bari2_062|
image57.png,|     species
0  Bari2_062|
image58.png,|     species
0  Bari2_062|
image59.png,|     species
0  Bari2_062|
image60.png,|     species
0  Bari2_062|
image61.png,|     species
0  Bari2_062|
image62.png,|     species
0  Bari2_062|
image63.png,|     species
0  Bari2_062|
image64.png,|     species
0  Bari2_062|
image65.png,|     species
0  Bari2_062|
image66.png,|     species
0  Bari2_062|
image67.png,|     species
0  Bari2_062|
image68.png,|     species
0  Bari2_062|
image69.png,|     species
0  Bari2_062|
image70.png,|     species
0  Bari2_062|
image71.png,|     species
0  Bari2_062|
image72.png,|     species
0  Bari2_062|
image73.png,|     species
0  Bari2_062|
image74.png,|     species
0  Bari2_062|
image75.png,|     species
0  Bari2_062|
image76.png,|     species
0  Bari2_062|
image77.png,|     species
0  Bari2_062|
image78.png,|     species
0  Bari2_062|
image79.png,|     species
0  Bari2_062|
image80.png,|     species
0  Bari2_062|
image81.png,|     species
0  Bari2_062|
image82.png,|     species
0  Bari2_062|
image83.png,|     species
0  Bari2_062|
image84.png,|     species
0  Bari2_062|
image85.png,|     species
0  Bari2_062|
image86.png,|     species
0  Bari2_062|
image87.png,|     species
0  Bari2_062|
image88.png,|     species
0  Bari2_062|
image89.png,|     species
0  Bari2_062|
image90.png,|     species
0  Bari2_062|
image91.png,|     species
0  Bari2_062|
image92.png,|     species
0  Bari2_062|
image93.png,|     species
0  Bari2_062|
image94.png,|     species
0  Bari2_062|
image95.png,|     species
0  Bari2_062|
image96.png,|     species
0  Bari2_062|
image97.png,|     species
0  Bari2_062|
image98.png,|     species
0  Bari2_062|
image99.png,|     species
0  Bari2_062|
image100.png,|     species
0  Bari2_062|
image101.png,|     species
0  Bari2_062|
image102.png,|     species
0  Bari2_062|
image103.png,|     species
0  Bari2_062|
image104.png,|     species
0  Bari2_062|
image105.png,|     species
0  Bari2_062|
image106.png,|     species
0  Bari2_062|
image107.png,|     species
0  Bari2_062|
image108.png,|     species
0  Bari2_062|
image109.png,|     species
0  Bari2_062|
image110.png,|     species
0  Bari2_062|
image111.png,|     species
0  Bari2_062|
image112.png,|     species
0  Bari2_062|
image113.png,|     species
0  Bari2_062|
